Platform,Text
youtube,the problem isnt design or concept its about the price of the phone and what u get in that price and what its offering u can get absolutely anything at that price point if u want best camera slightly raise the budget and get x200 pro best android software experience get pixel 9 pro unique software experience get samsung and if performance is main priority and an all rounder with good camera design and software get one 13 allrounder compact with good battery and camera get vivo x200fe honestly i prefer last year s24 ultra over nothing 3 it has better camera software support costume service even better performance and optimization better software customisation with good lock better aftersale service better retail value and cherry on top better ecosystem
youtube,if nothing doesnt sell this under 50 k within some months ill change my name legally
youtube,bas iskaa price 4045k kerdoo or flagship tag nikaal do fir sbkoo achaa lageygaa yeh phone :grinning_face_with_sweat:
youtube,got paid
youtube,vivo t4 ultra vs x200 fe
youtube,1:36 me to
youtube,nothing became what it hated it literally called out the iphone for being costly and here they are at least iphone is flagship
youtube,day 2 of asking tech wiser to buy me nothing phone 3
youtube,i can forgive them for design but never for the price
youtube,okay tell me one reason to buy this over oneplus 13 i mean its cheaper more fast internals and ofcourse its oneplus :slightly_smiling_face:
youtube,i have s23 256 when i play some games it can go easily 465 degrees in temperature  something
youtube,noob youtuber tujhe kuch nhi pata h tech ke bare me itne bakwaas phone ko acha bata raha h
youtube,ill buy samsung or pixel in that rupees
youtube,pr wiser
youtube,next video topic idea: genz are addicted to online marketing
youtube,nothing with there first smartphone: :chart_increasing:  nothing with there current smartphone: :expressionless_face:
youtube,4:34 unlike iphone they have different way of authentication you should really add sponsored to the title
youtube,carl pei laughing at corner because this is what genius carl pei wants negative hypecarl pei is here to change smartphone industryhe is just smiling and working on next big smartphone with nothing os 4 with totally new nothing smartphone line up which will change entire smartphone industrywe have to wait and watch:red_heart:
youtube,been using a nothing phone 2 since 2 yrs now and ive recently started to notice overheating of the phone even if all im doing is scrolling youtube shorts at this point im really just hoping that this is an optimisation issue and can be fixed in the future
youtube,i actually like itbesides its prices
youtube,best synchronized swimming ive ever seen much better than the olympics kudos nothing for the sponsorship
youtube,80k phone sd 8s gen 4 is fine:smiling_face_with_tear::smiling_face_with_tear::smiling_face_with_tear::smiling_face_with_tear::smiling_face_with_tear:
youtube,i was like why were you praising it a lot but then the other half of the video showed me what you truly think  :thumbs_up::thumbs_up::thumbs_up:
youtube,for 80k man fuck emption
youtube,finallyyyy good editing
youtube,without the software there is nothing good about the nothing phone 3 i even consider nothing phone 2 with latest update it still provide a better value then the phone 3 and if the price is 25k for nothing phone 2 with latest update than its shut up and take my money deal
youtube,collab bhi likh lete bhai sahab inta kon chat ta h bhy nothing ki:face_with_tears_of_joy:
youtube,the nothing phone 3 is a very beautiful phone
youtube,nothing walo ne paise diye :full_moon_face:
youtube,how is the os so good its literally boring stock android unlike coloros or hyperos
youtube,its a 60000 phone almost flagship not a full flagship
youtube,bhai ek video samsung galaxy f36 one video will it worth for me
youtube,carl pei ko pel diya prateek pew pewww honestly fair enough points were raised if you compare good points with an iphone then why not compare where you lack behind and they lack behind everywhere except pricing and justifying the shit they made on a youtube video rather than rectifying their fuckery
youtube,now you are just covering up the mess created by nothing  i was a damn hard fan of nothing  but after this phone i hate this shitty phone
youtube,i want to see the sales report of this phone:face_with_tears_of_joy:
youtube,a lot of these comments coming from people who very apparently didnt watch the entire video
youtube,nating vone tree
youtube,nothing phone 5 or 6 would be more expensive than iphones
youtube,you took money from them
youtube,i love my nothing phone cmf nothing 1 :red_heart:
youtube,it is a :pile_of_poo: phone available for f:brain::brain:ls  best choice is pick poco f7 or if you have a budget then go with iqoo neo 10
youtube,40k phone launched at 80k its an absolute shit
youtube,you did not pay for the device   nothing 3a experience was great so this would be even better especially if you dont have to pay for it    if you really like something you show support by buying it as well
youtube,7:10 come on man you didnt get your hands on motorola edge 40 i guess never check it in thermal meter but the game app shows cpu temperature at 50c sometimes if there is no fan  while charging im sure it reaches 60 for sure those metal frame just fries the fingers
youtube,it really looks like nothing was trying very hard to take advantage of indian fans and fanboys in a drastic way :crying_face:
youtube,bugs are there in 3a too exactly the same
youtube,fingerprint scanner is not well placed stop this shit:red_heart:
youtube,honestly oneplus13r is faaar better:face_with_tears_of_joy::face_with_tears_of_joy::face_with_tears_of_joy:then this shit
youtube,if the price goes down around 4550k  it will still sell like crazyy indian consumers seek value and thats the main reason why this phone is so hated right now :face_with_tears_of_joy:
youtube,i m like it kyu ki mujhe company ki d jo karna hai company next time mobile phone review karne de or hate it subscriber ko bewakuf bhi banana hai :face_with_tears_of_joy::face_with_tears_of_joy::face_with_tears_of_joy:
youtube,its not about the shitty design that only paid reviewers liked and promotes its about the okish specs that they call flagship level and the most flagshippy pricing :face_with_tears_of_joy:
youtube,is this paid promotion techwiser
youtube,promotion likhna bhul gaya bhai
youtube,the same software is available under 20k phone :expressionless_face::expressionless_face::expressionless_face:
youtube,abey saale
youtube,hot take: i like the design and hate everything else including gliph matrix
youtube,nothing is nothing
youtube,i didnt see anyone talking about nothings environment friendly approach of manufacturing by using recycled material this may be a reason that phones price is high
youtube,you want attention carry this phone youll get stares and a lot of questions
youtube,as carl pei seems he is not very smart he priced it around in a very competitive market what the hell by the before 7:00 i was about to comment completely sponsored video but then i saw the rest completely agree with you
youtube,notathing  :loudly_crying_face: owning the nothing phone 3 is a real conversation starter: hey didnt you pay a lot for that phone yes and look at all the nothing i got
youtube,29999   then i m ready to buy it
youtube,watching this in my nothing phone 1
youtube,bas view mil gae ab to
youtube,10:46  in today day and age no one will want a united jersey even for free :face_with_tears_of_joy::face_with_tears_of_joy:
youtube,4:23 peak
youtube,its a good phone for around 50kbut for 80k nah people will go for samsung or iphone for 80k
youtube,dude atleast add sponsored if youre going to spew sht
youtube,even the diehard nothing fans are switching to other brands after the release of this phone :folded_hands:
youtube,if this shit was priced even 45k i would have give it a thought
youtube,hah bhaiii kitne paise mile
youtube,let us start a movement to make pratik clean shave once hit like if you want it to happen
youtube,i think the main problem is carl not the phone :face_with_tears_of_joy::face_with_tears_of_joy:he will criticise every other phone and give every possible rational  explanation to why nothing phone has some bug or fault
youtube,same problem sre in old models too
youtube,let me tell you its offtopic but you look like mechanical jugadu very similar face you should check him out lol
youtube,ad wiser
youtube,cringe thumbnail bro please dont enjoyed the video though
youtube,imagine the price drops to 55k  discounts and sales go high  probably soon
youtube,paytm karo :check_mark_button:
youtube,hindi bol le bhai
youtube,ceo is high when he got the idea to produce a phone at this price:face_with_tears_of_joy::face_with_tears_of_joy::face_with_tears_of_joy::face_with_tears_of_joy::face_with_tears_of_joy::face_with_tears_of_joy::face_with_tears_of_joy::face_with_tears_of_joy::face_with_tears_of_joy:
youtube,nothing thinks they are apple  people will buy their overpriced products just in name of their brand
youtube,40k phones are offering much better value for money and descent software experience these days this phone is simply wrong
youtube,finally bro got paid
youtube,not gonna lie he had us in the first half
youtube,nobody can convince me to buy this phone
youtube,nothing takes notes from apple for pricing their phones:face_with_tears_of_joy::face_with_tears_of_joy::face_with_tears_of_joy::face_with_tears_of_joy:
youtube,you trying to get nothign ceos attention with that title i guess lmao
youtube,paytm par 50 prapt huye
youtube,everything is good with the phone its just the pricing that is way off
youtube,you have clearly been paid by nothing to defend this disaster of a phone lets see how it sells my prediction aapki kacchi ho jayegi
youtube,nothing fans are having nothing in their brains :face_with_tears_of_joy::man_shrugging::rolling_on_the_floor_laughing:
youtube,exaclty they messed up with the price
youtube,:face_with_tears_of_joy::face_with_tears_of_joy: are you cray or got paid this phonw is overpriced shit
youtube,yupp you are right with the price and with some offer that should reduce it 5k and then 40k will be best deal and will compete with 1 13r
youtube,1:40 i like collecting clothing tags or stickers that use to come in phones :face_with_open_mouth::grinning_face_with_sweat:
youtube,4:20 you got me
youtube,as they have said a very good phone for 45000 inr and a very bad phone for 80000 inr
youtube,money credited
youtube,its a very good phone at 45k
youtube,if only the processor was 8 elite phone 3 could have been a good phone of nothing
youtube,even 45k is way too much for this phone about rs33000 is its max value
youtube,6:33 twist in story :person_tipping_hand:
youtube,its getting strong competition from the iphone 16e
youtube,1st half : money credited   2nd half : oh it was inr and not usd
youtube,for this phone even for nothing so called premium strategy it shouldnt have been more expensive than 55k and im being too generous here right now even oppo reno 14 pro seems to be more value for money that this phone
youtube,what changed between this short and the full review
youtube,i like the phone too its industrial and the cameras are giving an hint of brutalism love that brave in a market where every company trys to create a design that doesnt offend anyone but also says nothing love the design but the matrix ist lame compared to the lights but still better nicer than normal stuff
youtube,ok but 80k for this why
youtube,most hated iskespecs ke liye nahi hai  gandu  iske price ke liye hai
youtube,people wont gather to cherish the device but to laugh at the pathetic chapri design
youtube,nothing fans crying so hard :face_with_tears_of_joy:
youtube,please do a video on the galaxy watch 8 classic which youre wearing :red_heart:
youtube,there is nothing in nothing 3 phone :face_vomiting::nauseated_face: hyper overpriced :face_vomiting:
youtube,i seriously think the team behind pricing forgot the price sensitivity here a phone made here being that expensive makes no sense it should have come at 5055k before discounts so people would get it at 4548k after discounts it feels someone just for the aesthetic on price page of showcase put it at 79999 to match with 799 across other currencies which if its true is silly and straight up bs honestly i wouldnt be surprised if they did it because they went so far to make a hole on motherboard to reduce 1 camera bump while other 2 were left as it is and for what maybe aesthetics because they wanted this design anyhow of one bump being away and at asymmetrical angle so ye gg you lost your market here on a subjective design and 1 level below specs across the board and that too with buggy software which was the only thing flagship about phone 3  lol
youtube,agree with you its not about the phone in the first place prateek its always about the price it offers no flagship specs at a flagship price
youtube,we need snapdragon elite to future proof the phone  no one buys a flagship to use for 1 year  even if they do use only for 1 year then comes the resale value
youtube,4:20 editor nailed it
youtube,reasons to like the phone: software reasons to hate it: everything else
youtube,editing day by day:chart_increasing::chart_increasing:
youtube,the most hated phone in universe
youtube,8s gen 3 is batter then 8s gen 4 because 8s gen 4 is heater :face_with_tears_of_joy::face_with_tears_of_joy::face_with_tears_of_joy:
youtube,people are angry because of its price bro
youtube,worst phone only this is
youtube,bro received money from nothing
youtube,sorry but this is not a flagship from any angle samsung has been offering usb 30 display alt since over 5 years now and nothing still doesnt have it in any flagships despite the price  why it matters by 2026 aosp is getting a desktop mode just like samsung dex 2026 is the year when your smartphone finally becomes a full fledged computer that can do stuff on big screen with attached keyboard and mouse when the s21 fe from 2022 will be able to do it but your nothing phone cant your eyes will finally open to the stupid game that carl pei is playing the most expensive samsung phone that doesnt come with usb 30 display alt is a56  so its pricing should be around that phone  meaning somewhere around 30k45k max
youtube,loved the shirt:red_heart:
youtube,you are the only one who talked about why it is important to punch the periscope camera and still the phone got a camera bump seems like nothing just did it for the sake of making the camera module assymetric because if they make symmetrical design then it might look like other brands or in future it might be copied by somebody else so they brought an ugly design which no one even can thought of trying something like that and that makes the design unique   the fanda is  make something unique wheather it is ugly or not functional  dont care  price it high marketing it as desing wonder
youtube,forget the back of the phone look at everything else not worthy of 80k price tag hell its not even worthy of 60k
youtube,who cooked the hand drawn phone 3 9:35
youtube,all the advantage of this phone is for small group of people
youtube,hey guys at nothing aint slowthey know exactly the kind of hype its going to consume if they launched a subpar phone at flagship prices theyre going to slash down the prices aggressively in upcoming days to appeal the online platforms after the hype train passessome companies have done it recentlyany sort of marketing is good marketing goodbad whatever
youtube,phone 3: dead on arrival
youtube,nothing made a nothing phone :grinning_face_with_sweat:
youtube,badnam huye to kya naam na hoga gariyane ke liye hi sahi public unanimous hai
youtube,btw  carl pei said indians are poor so they cant afford a phone like this    still gonna buy it
youtube,nothing phone 3 is a golden:trophy: turd
youtube,:check_mark:here it is :heavy_dollar_sign::heavy_dollar_sign: paid review by nothing :face_with_tears_of_joy:
youtube,kithe paise diye the phone ko like kr ne ke liye
youtube,no way bro you defended that badly placed fingerprint sensor with iphone that nothing can never match iphones os experience camera quality and most importantly brand value  btw i too liked the design :face_in_clouds:
youtube,bro can sell water to the ocean
youtube,most hated phone of the year :face_with_tears_of_joy::face_with_tears_of_joy::face_with_tears_of_joy:
youtube,i will get it if below 40k
youtube,you are sold at the end you just did damage control by saying if its 45k thumbnail itself is misleading you love the phone
youtube,nothing single handedly made the competition look good at this price point
youtube,kitna mila
youtube,the phone is actually available for 52k so its a fair price for what it offers for those who have the experience of nothings clean software this is going to be an upgrade for nothing 1 and 2 users
youtube,if someone wants to experience nothing os  only those will consider this otherwise oneplus 13 would be a much better choice
youtube,i like the phone no problem only problem is its price  should have been in 37k
youtube,:rainbow_flag::rainbow_flag: accent :rainbow_flag::rainbow_flag::rainbow_flag: review
youtube,i almost typed this is a sponsored video you had me praatik you had me
youtube,nothing did nothing
youtube,people will question why do u even follow man i are you mentally alright bro:face_with_tears_of_joy:
youtube,yes  when u take the phone out  everyone gives u a lot of attention yes thats totally true  they are thinking whats wrong with u :d
youtube,80k im getting an  pixel 9 pro :smiling_face_with_smiling_eyes:
youtube,is this sponsorshiphuh:face_with_tears_of_joy:
youtube,there should be a sponsorship disclaimer for the entire video
youtube,only bad thing about this phone is the  price no way anyone will choose phone 3 over s24u 75k
youtube,nothing se paise mil gaye  lag raha hai
youtube,went for the mobile shopping for switching back to android after 6 yearsiphone 11 my choices were nothing pixel 9 s25 and there i saw nothing phone 3 and i liked watching between pixel 9 and s24 i was tempted to buy nothing phone 3 but held back and bought s24 ultra
youtube,was using phone 1 wait for phone 3 got to know price 80k sold phone 1 got oneplus 13s simple :smiling_face_with_smiling_eyes:
youtube,i would say nothing phone 2 was value for money after seeing phone 3
youtube,who cares abt design device is shit for the price
youtube,it seems paid promotion:face_with_tears_of_joy::face_with_tears_of_joy::face_with_tears_of_joy:
youtube,this is just a experiment by nothing to grab attention and gain brand value next time they will lunch a full fledged flagship above 1lakh with all the flgship hardware and features
youtube,according to you which one should we buy nothing 3a or 3a pro
youtube,nowadays phones are a part of ones personality and like mkbhd said not everyone wants to have a crab:crab: they opt for the lobster:lobster:
youtube,a lot of change from the first review especially first half to the point it feels like its sponsored not sure why was it needed
youtube,glory glory man united:red_heart::white_heart:
youtube,phone is not the problem price is
youtube,sponsorwiser till 6:19
youtube,bro played it smartly first embraced then disgraced then gave an opportunity if it sells at 45000it will be in bbd  its a value for money its still not worth of freaking 45000 bro
youtube,made in india by chinese:face_with_tears_of_joy:
youtube,s24 ultra is 79k right now without offers
youtube,bro what about weight management new z fold is 218gm and this shit is 220gm wtf i think you need a nose protection while using it :face_with_tears_of_joy:
youtube,for a moment i thought he loved it :3
youtube,still hated one :face_with_tears_of_joy::face_with_tears_of_joy:
youtube,this is the end of nothing
youtube,i got s24 plus at 53k :grinning_face_with_sweat::grinning_face_with_sweat::grinning_face_with_sweat:
youtube,yes 45k good price for this phone
youtube,4:20 this one got me :face_with_tears_of_joy:
youtube,even public toilets look better than this :red_heart:
youtube,tumhara naam pratik haimera ek dost hai pratik kya tum bdmi mein padhe the kolkata mein  if u have studied i m vivek do u rdmember me
youtube,i bet its a promotional video like pls think about spending 80k on a useless gimicky feature phone when u have way better options in just 50k and its only usp is a totally useless feature  ie the glyph gimick i mean come on nothing u have done nothing on innovation  u made a toy for an adult bcoz i dont think a kid is anyway getting a 80k phone  u should regret on what u have made  and that too selling at a way higher price where everyone expect a flagship experience not a toy
youtube,as a fan of techwiser it is very hard to see the video till 7 mins because thats not you i thought to unsubscribe till that moment later your real style was begun
youtube,damn  video theme is amazing
youtube,bro prateek you almost scared me i was thinking have you gone out of your mind or has nothing paid the right price but thanks to my habit of watching the full video i felt relief nothing 3 is one of the biggest price blunders a company can make what was the ceo thinking when he was finalizing the price people surely need that maal jo usne us din fuka tha :face_with_tears_of_joy::face_with_tears_of_joy:
youtube,1:35 hoarding symptoms :grinning_face_with_sweat:
youtube,0:20 kya ye intro hai chhii:nauseated_face::face_vomiting:
youtube,id buy it for 60k
youtube,paid promotion nothing else this phon is just ugly
youtube,i was about to write the price 4045k for this phone but then you said the exact fair price 4045k its a coincidence but we can all agree that this phone is sub 50k device period   nothing have really messed up with this phone everything literally everything looks messy 8s gen 4 is a massive power hungry chip while other brands aware of this and they put biggest batteries in the industry nothing have sticked to a smaller battery hoping that their godtier optimization can handle this   i can also go on and on i hope nothing will understand what they have done
youtube,6:03 you can do all of this on the phone with that processor for now but when u buy a phone at that price with 5 years of update it needs to be future proof for that period with a comparatively low powered processor itll definitely affect the apps that it can handle in the next 23 years :man_shrugging_light_skin_tone: oops ai jumped into writing this before watching fullyso agree with all of it at the end :face_with_tears_of_joy:
youtube,kachara
youtube,mark my words they will drop the price approx 35k40k in sale its pure marketing they will sell more as the discount is more than 40k
youtube,bro forgot about his promise of replying to comments :face_with_tears_of_joy:
youtube,bro received a large paycheck
youtube,its all about gimmicks  theyre grabbing attention with high price  its a free publicity :face_with_tears_of_joy:
youtube,baker phone hai  my nothing phone 2 still good  i didnt switch on phone 3
youtube,bro the background music is not good its way better without background music
youtube,4:00 come again:face_with_monocle:
youtube,its crazy how much they did wrong with this phone
youtube,price and everything about it are shit
youtube,package kide
youtube,nothing feels more disappointing than paying flagship money for midrange chaos :face_with_steam_from_nose::chart_decreasing:
youtube,bro trying hard to get in nothings ceo react video :face_savoring_food::face_savoring_food::smiling_face_with_hearteyes::smiling_face_with_hearteyes::face_blowing_a_kiss::face_blowing_a_kiss::smiling_face_with_hearts::smiling_face_with_hearts:
youtube,pratik first of all i really thought u fell for it :face_with_tears_of_joy: even said to myself finally pratik got bought too :face_with_tears_of_joy: but it finally turned out to be a good video but u r saying nothing fan following and comparing it to mu no they r tiny miniscule compared to united  fans there will be more fans of dinesh kartik than nothing btw:face_with_tears_of_joy:
youtube,aaj paneer banega :face_with_tears_of_joy::face_with_tears_of_joy::face_with_tears_of_joy:
youtube,the cornhub screenshot there got me :face_with_tears_of_joy::face_with_tears_of_joy:
youtube,ugly price ugly design
youtube,good for 60k as well for that leds at the back good thought but whats with the battery drain
youtube,whoever says what this is an over priced piece of sit
youtube,being a telugu guy related to ylur thumbnail woww nicee :face_with_tears_of_joy::face_with_tears_of_joy:
youtube,572 comment
youtube,whare is flash light :grinning_face_with_sweat:
youtube,channel is sponsored oh gawd
youtube,well pratik i also have all purchased phone and shoe boxes  :grinning_face_with_sweat:
youtube,theres nothing to be liked
youtube,this is the shitiest phone this world has seen
youtube,:face_with_tears_of_joy::face_with_tears_of_joy::face_with_tears_of_joy::face_with_tears_of_joy:  stupid 8s gen 4 in 80k  most bull shit phone off the year  i will sell u a phone 6300 in 15lac ok buy from me :face_with_tears_of_joy::face_with_tears_of_joy::face_with_tears_of_joy::face_with_tears_of_joy:   if u guyz wont take any steps them slowly brand will continue this kind of shit pricing high for shity specs :face_with_tears_of_joy::face_with_tears_of_joy::face_with_tears_of_joy:
youtube,the phone is good asf but not 80000 good
youtube,i knew you were gonna flip at the end
youtube,how much nothing paid you fir promoting this garbage and one more thing this heats so much that it can cook you food
youtube,if you would have released the video 34 days ago carl would have used you as the example in his reacts video thank god you delayed video
youtube,this phone is overpriced no debate in that but design wise i dont think it is ugly i dont think this is something great also it is an ok design if the phone was prices around 40k to 50k it would have been ok
youtube,missed the pheww pheww
youtube,you forgot to say its sponsered from heart and overpriced
youtube,under 40k you got more better phone
youtube,thank good he didnt mentioned poco f7 which have the same processor and bigger silicon carbon battery and lot more stuff
youtube,lagta hai bhai ke account me paisa aa gya hai :face_with_tears_of_joy:
youtube,i really want to see the sales no of nothing phone 3
youtube,i purchased iphone 11 after watching reviews you soo many reviews even mkbhd and everyone said the display is ok so dont notice it blah blah :expressionless_face: and boy when i kept it with some very mid range phone the difference was real specs really matter specially in my case when i was planning it to use for longer time i regret byuing that phone
youtube,cheesy jokes not appreciated just stick to a decent review
youtube,do you think motorola will launch the edge 60 neo techwiser
youtube,rashford to barcelona  here we go
youtube,its not just the design that is shit
youtube,sponsoredwiser
youtube,price is the only bad thing about this phone nothing else
youtube,software is the best  rest nothing
youtube,same i like collecting boxes too
youtube,i was having the same battery issue in np2
youtube,605 its need for future if u use 1 yr then 8 elite not req if someone use  this phone 3 to 4 yr then definitely he need that power processor for handle every application update :smiling_face_with_smiling_eyes:
youtube,finally its time to unsubscribe
youtube,they fup with price bro thats why hated if they had launched at 5060k it would have been still fine at 80k only fools gonna buy it lol
youtube,this phone would be a banger if it has  better design better processor better company better price better ceo
youtube,bullshit phone at ridiculous price
youtube,nothing went to the baap of advertisers: adwisers to clean the mess it created :face_with_tears_of_joy::face_with_tears_of_joy::face_with_tears_of_joy:
youtube,that cornhub ss :face_with_tears_of_joy:
youtube,how cringe do you want it to be   adwiser: yes :clown_face:
youtube,not either good handset for 45k while brands provides better handsets than this with a charger inside the box nothing 3 would be a better mobile if the price is 25k30k maybe upto 35k
youtube,s24fe at 35k on amazon is a steal anybody considering to get a flagship it is a solid pick and has just about topnotch everything
youtube,not the mention the fact that the s24 ultra was available for much cheaper during the sale
youtube,you had me before u changed shirts :smiling_face_with_horns::grinning_squinting_face:
youtube,flagship price with mid range performance display speaker chip design only the nothing os feels somewhat okay
youtube,video toh achhi hai par thumbnail pe facial expressions thode casual hai:melting_face:
youtube,from nothing to something and now back to nothing
youtube,the design dont matter if the price was even around 40k people will just ignore the design or accept the design
youtube,kitana khillaya nothing wali ne :face_with_tears_of_joy:
youtube,paytm payment received
youtube,1:35 ur not alone:even i have like 2530 boxes of unboxed tech
youtube,shit mobile :mobile_phone::selfie: promotion
youtube,damn video editing and story telling is amazing this time may be best the  i ever seenlong term review phone good job pratik hope you read my comments
